nu,[1]CH4-HITRAN:X=0.01-T=296K-P=1atm-L=130cm
6046.27,0.004970481073332652
6046.27122,0.004987052874318444
6046.27244,0.005003622462092327
6046.27366,0.005020189761158227
6046.27488,0.005036755159038423
6046.2761,0.005053319508913685
6046.27732,0.005069884127515468
6046.27854,0.005086450788326122
6046.27976,0.0051030217102260135
6046.28098,0.005119599541805037
6046.2822,0.005136187341630534
6046.28342,0.005152788554827183
6046.28464,0.005169406986382377
6046.28586,0.005186046771634357
6046.28708,0.005202712344435137
6046.2883,0.005219408403501518
6046.28952,0.005236139877477655
6046.29074,0.005252911889230573
6046.29196,0.005269729719886127
6046.29318,0.0052865987730917035
6046.2944,0.005303524539957464
6046.29562,0.005320512565090808
6046.29684,0.0053375684140912405
6046.29806,0.005354697642825494
6046.29928,0.00537190576874778
6046.3005,0.005389198244478737
6046.30172,0.0054065804338021784
6046.30294,0.005424057590186845
6046.30416,0.005441634837891891
6046.30538,0.005459317155668876
6046.3066,0.005477109363031417
6046.30782,0.0054950161090278485
6046.30904,0.0055130418634194945
6046.31026,0.005531190910142417
6046.31148,0.00554946734290796
6046.3127,0.005567875062782405
6046.31392,0.005586417777574103
6046.31514,0.00560509900284963
6046.31636,0.005623922064398002
6046.31758,0.005642890101961659
6046.3188,0.0056620060740575654
6046.32002,0.005681272763716696
6046.32124,0.005700692784978716
6046.32246,0.0057202685899889714
6046.32368,0.0057400024765544115
6046.3249,0.0057598965960273295
6046.32612,0.005779952961398086
6046.32734,0.005800173455489368
6046.32856,0.005820559839157028
6046.32978,0.005841113759413936
6046.331,0.005861836757405071
6046.33222,0.005882730276171222
6046.33344,0.005903795668151038
6046.33466,0.0059250342023774724
6046.33588,0.005946447071335339
6046.3371,0.005968035397453442
6046.33832,0.005989800239211159
6046.33954,0.006011742596846525
6046.34076,0.00603386341765748
6046.34198,0.00605616360089294
6046.3432,0.0060786440022352435
6046.34442,0.006101305437877556
6046.34564,0.0061241486882050436
6046.34686,0.006147174501089968
6046.34808,0.006170383594813663
6046.3493,0.00619377666063101
6046.35052,0.006217354364993948
6046.35174,0.006241117351453235
6046.35296,0.006265066242258544
6046.35418,0.006289201639678975
6046.3554,0.006313524127066796
6046.35662,0.006338034269688945
6046.35784,0.006362732615352292
6046.35906,0.006387619694849396
6046.36028,0.00641269602225313
6046.3615,0.006437962095089576
6046.36272,0.0064634183944199475
6046.36394,0.006489065384863581
6046.36516,0.0065149035145944225
6046.36638,0.006540933215345567
6046.3676,0.006567154902456397
6046.36882,0.006593568974997686
6046.37004,0.0066201758160106365
6046.37126,0.006646975792896096
6046.37248,0.006673969257989716
6046.3737,0.006701156549357558
6046.37492,0.006728537991847646
6046.37614,0.0067561138984281914
6046.37736,0.006783884571844023
6046.37858,0.006811850306617487
6046.3798,0.006840011391418474
6046.38102,0.006868368111822155
6046.38224,0.00689692075346941
6046.38346,0.006925669605638887
6046.38468,0.006954614965233318
6046.3859,0.006983757141175265
6046.38712,0.007013096459201865
6046.38834,0.00704263326703798
6046.38956,0.007072367939921375
6046.39078,0.0071023008864437055
6046.392,0.007132432554664507
6046.39322,0.007162763438446443
6046.39444,0.0071932940839534035
6046.39566,0.007224025096246343
6046.39688,0.007254957145906099
6046.3981,0.0072860909756074
6046.39932,0.0073174274065654615
6046.40054,0.00734896734477427
6046.40176,0.0073807117869555735
6046.40298,0.007412661826138338
6046.4042,0.007444818656792214
6046.40542,0.007477183579442231
6046.40664,0.007509758004699212
6046.40786,0.007542543456647111
6046.40908,0.007575541575538762
6046.4103,0.007608754119760933
6046.41152,0.007642182967041392
6046.41274,0.0076758301148826475
6046.41396,0.007709697680218962
6046.41518,0.00774378789830625
6046.4164,0.007778103120866135
6046.41762,0.00781264581351734
6046.41884,0.007847418552538897
6046.42006,0.007882424021018172
6046.42128,0.007917665004447053
6046.4225,0.007953144385835066
6046.42372,0.007988865140414608
6046.42494,0.008024830330017524
6046.42616,0.008061043097202902
6046.42738,0.008097506659219026
6046.4286,0.008134224301878445
6046.42982,0.008171199373424797
6046.43104,0.008208435278464666
6046.43226,0.008245935472033138
6046.43348,0.008283703453855946
6046.4347,0.008321742762863061
6046.43592,0.008360056972002077
6046.43714,0.0083986496833918
6046.43836,0.008437524523847521
6046.43958,0.008476685140802668
6046.4408,0.008516135198642475
6046.44202,0.008555878375458641
6046.44324,0.008595918360226384
6046.44446,0.008636258850399524
6046.44568,0.008676903549911893
6046.4469,0.008717856167569918
6046.44812,0.00875912041581576
6046.44934,0.008800700009836604
6046.45056,0.008842598666993216
6046.45178,0.008884820106538138
6046.453,0.00892736804959217
6046.45422,0.008970246219347396
6046.45544,0.00901345834146339
6046.45666,0.009057008144624096
6046.45788,0.009100899361223273
6046.4591,0.009145135728146155
6046.46032,0.009189720987617831
6046.46154,0.009234658888088172
6046.46276,0.009279953185126375
6046.46398,0.009325607642298664
6046.4652,0.00937162603200543
6046.46642,0.009418012136255077
6046.46764,0.009464769747354307
6046.46886,0.009511902668496426
6046.47008,0.009559414714231142
6046.4713,0.009607309710800859
6046.47252,0.009655591496331863
6046.47374,0.00970426392086819
6046.47496,0.009753330846241607
6046.47618,0.009802796145769047
6046.4774,0.009852663703774992
6046.47862,0.009902937414935531
6046.47984,0.009953621183445036
6046.48106,0.010004718922008169
6046.48228,0.010056234550663068
6046.4835,0.010108171995444061
6046.48472,0.010160535186896287
6046.48594,0.010213328058457573
6046.48716,0.010266554544726811
6046.48838,0.010320218579642139
6046.4896,0.010374324094596888
6046.49082,0.010428875016525337
6046.49204,0.010483875265995877
6046.49326,0.010539328755353213
6046.49448,0.010595239386957535
6046.4957,0.010651611051572132
6046.49692,0.010708447626957255
6046.49814,0.010765752976732433
6046.49936,0.010823530949572347
6046.50058,0.01088178537880789
6046.5018,0.010940520082503857
6046.50302,0.010999738864088783
6046.50424,0.011059445513613427
6046.50546,0.011119643809711878
6046.50668,0.011180337522339205
6046.5079,0.011241530416355087
6046.50912,0.01130322625601685
6046.51034,0.011365428810437032
6046.51156,0.011428141860052471
6046.51278,0.011491369204137396
6046.514,0.011555114669380731
6046.51522,0.011619382119529956
6046.51644,0.011684175466087172
6046.51766,0.01174949868002212
6046.51888,0.011815355804445996
6046.5201,0.01188175096816896
6046.52132,0.011948688400041178
6046.52254,0.012016172443955529
6046.52376,0.01208420757436938
6046.52498,0.012152798412183108
6046.5262,0.012221949740795286
6046.52742,0.01229166652214101
6046.52864,0.012361953912507842
6046.52986,0.012432817277916048
6046.53108,0.012504262208849535
6046.5323,0.012576294534122932
6046.53352,0.012648920333678898
6046.53474,0.01272214595012172
6046.53596,0.012795977998808264
6046.53718,0.012870423376340626
6046.5384,0.012945489267328476
6046.53962,0.013021183149318914
6046.54084,0.013097512795821647
6046.54206,0.013174486277393168
6046.54328,0.013252111960774452
6046.5445,0.01333039850611555
6046.54572,0.013409354862349298
6046.54694,0.013488990260812553
6046.54816,0.013569314207240179
6046.54938,0.01365033647228321
6046.5506,0.013732067080725423
6046.55182,0.013814516299591129
6046.55304,0.013897694625347295
6046.55426,0.013981612770414768
6046.55548,0.014066281649205637
6046.5567,0.01415171236390185
6046.55792,0.014237916190188021
6046.55914,0.014324904563139887
6046.56036,0.014412689063458455
6046.56158,0.014501281404227538
6046.5628,0.01459069341835251
6046.56402,0.014680937046821736
6046.56524,0.0147720243279144
6046.56646,0.014863967387457561
6046.56768,0.014956778430218306
6046.5689,0.015050469732498753
6046.57012,0.015145053635985565
6046.57134,0.015240542542889656
6046.57256,0.015336948912399371
6046.57378,0.015434285258459874
6046.575,0.015532564148877843
6046.57622,0.01563179820574672
6046.57744,0.015732000107178064
6046.57866,0.015833182590320013
6046.57988,0.01593535845563933
6046.5811,0.016038540572439017
6046.58232,0.01614274188558143
6046.58354,0.01624797542338179
6046.58476,0.016354254306635455
6046.58598,0.016461591758737
6046.5872,0.01657000111684584
6046.58842,0.01667949584404727
6046.58964,0.01679008954245322
6046.59086,0.016901795967178158
6046.59208,0.017014629041120347
6046.5933,0.01712860287046834
6046.59452,0.017243731760846776
6046.59574,0.017360030234001574
6046.59696,0.01747751304492297
6046.59818,0.017596195199289
6046.5994,0.01771609197110953
6046.60062,0.017837218920441274
6046.60184,0.017959591911043526
6046.60306,0.018083227127833546
6046.60428,0.018208141094009946
6046.6055,0.018334350687705787
6046.60672,0.018461873158040692
6046.60794,0.018590726140450153
6046.60916,0.018720927671177265
6046.61038,0.01885249620082608
6046.6116,0.018985450606891715
