nu,[0]CH4-HITRAN:X=0.05-T=296K-P=1atm-L=300cm
6009.62,0.013576922955615078
6009.633,0.012920154991791865
6009.646,0.012567728829235231
6009.659,0.012495138533437915
6009.672,0.012692919288518437
6009.685,0.013166532068325184
6009.698,0.01393345171422781
6009.711,0.015019672739571263
6009.724,0.016458371442889166
6009.737,0.018288649204902457
6009.75,0.020534015527887896
6009.763,0.023132133711284263
6009.776,0.025832133184735276
6009.789,0.028166327738504304
6009.802,0.02963968067559078
6009.815,0.03008193867949786
6009.828,0.02979569104086228
6009.841,0.029279599512122303
6009.854,0.028811094746087736
6009.867,0.02826522224439858
6009.88,0.02726822033749937
6009.893,0.025551623944248154
6009.906,0.023204040308030898
6009.919,0.02059096395272528
6009.932,0.018085853395604985
6009.945,0.015904104769635136
6009.958,0.014107524276878147
6009.971,0.012675018993201441
6009.984,0.011558257825649062
6009.997,0.010707619417653677
6010.01,0.010080194716668853
6010.023,0.009639659350574634
6010.036,0.00935282144577468
6010.049,0.009187815006472637
6010.062,0.009117525020354943
6010.075,0.009120358176438383
6010.088,0.009164844984962311
6010.101,0.009192700981072778
6010.114,0.009142884892698327
6010.127,0.009011186627109884
6010.14,0.008865267175526501
6010.153,0.008788611956378823
6010.166,0.008823925260409328
6010.179,0.008955602636126953
6010.192,0.009115522377408808
6010.205,0.009208557264169403
6010.218,0.009163487698639018
6010.231,0.00897760740560008
6010.244,0.00870794020357746
6010.257,0.0084189099651747
6010.27,0.008143531163288718
6010.283,0.0078885119656066
6010.296,0.007661168284980287
6010.309,0.007480694448265554
6010.322,0.0073666444618035
6010.335,0.0073242159038559886
6010.348,0.0073388075762147705
6010.361,0.007380350142334826
6010.374,0.007417783961150098
6010.387,0.007439108947257163
6010.4,0.007461821760608928
6010.413,0.0075234407776461655
6010.426,0.007662758254607674
6010.439,0.007910015854348055
6010.452,0.00828963548951822
6010.465,0.008828029567152569
6010.478,0.009558720013050291
6010.491,0.010517956416222983
6010.504,0.011726948976407924
6010.517,0.013160067960822525
6010.53,0.01469795763641486
6010.543,0.016080269249741423
6010.556,0.016932801138010052
6010.569,0.016956011292414006
6010.582,0.016160581229546982
6010.595,0.014870054854116976
6010.608,0.013478470218419865
6010.621,0.012240769780941695
6010.634,0.011236628269524724
6010.647,0.0104373917191133
6010.66,0.009786946759531236
6010.673,0.009249764217167035
6010.686,0.008811088811701557
6010.699,0.008454656900399994
6010.712,0.00815620681306429
6010.725,0.007897406941969169
6010.738,0.007674804434887702
6010.751,0.007493199616131902
6010.764,0.007359761477353304
6010.777,0.0072834985084920464
6010.79,0.007265872913895259
6010.803,0.007284969979913686
6010.816,0.007296599258977456
6010.829,0.0072649315309989086
6010.842,0.007196725336441041
6010.855,0.007138543456573282
6010.868,0.0071429910618658965
6010.881,0.007241499480666141
6010.894,0.007433571522016155
6010.907,0.007681671343850703
6010.92,0.007915427365557712
6010.933,0.008062269000591066
6010.946,0.008094668776590633
6010.959,0.008046167765997227
6010.972,0.007978309486202453
6010.985,0.007942224531535782
6010.998,0.007973254662151106
6011.011,0.00810487579821137
6011.024,0.00837256320224259
6011.037,0.008805563198014843
6011.05,0.009416455062507663
6011.063,0.010187437195272892
6011.076,0.011053892763344725
6011.089,0.01190824059515891
6011.102,0.012656565686937174
6011.115,0.013305599817953725
6011.128,0.013986375399739638
6011.141,0.014872166925371853
6011.154,0.0160577692017568
6011.167,0.017462349045479168
6011.18,0.01878029991730484
6011.193,0.019551887917128204
6011.206,0.01941095775397189
6011.219,0.018341425244774723
6011.232,0.016667547239151495
6011.245,0.014807691139275278
6011.258,0.013059377761482303
6011.271,0.011547916283718368
6011.284,0.010286351032701431
6011.297,0.009250522662219691
6011.31,0.008415644833517972
6011.323,0.0077599054195542855
6011.336,0.007261355312174312
6011.349,0.006898559493872547
6011.362,0.006652735674743586
6011.375,0.006507685431986574
6011.388,0.006444870950457559
6011.401,0.00643374139524112
6011.414,0.006425062326861454
6011.427,0.0063630695606696625
6011.44,0.006218355337984984
6011.453,0.0060086570256800125
6011.466,0.005780788003804609
6011.479,0.00557738206709805
6011.492,0.005421623454214425
6011.505,0.005320839579717624
6011.518,0.00527495756097747
6011.531,0.005282196483591341
6011.544,0.0053405875360820945
6011.557,0.005445734530920586
6011.57,0.005586773562669182
6011.583,0.005744721257323547
6011.596,0.005897221287246443
6011.609,0.00602619230263811
6011.622,0.006117398351398586
6011.635,0.006152833306197157
6011.648,0.00611544379325374
6011.661,0.006009844332161824
6011.674,0.005869789933723553
6011.687,0.005738431889150341
6011.7,0.005646487659618189
6011.713,0.005607688319570015
6011.726,0.005625317878674562
6011.739,0.005699244175974339
6011.752,0.005829704196241077
6011.765,0.00601811560866828
6011.778,0.006265737828014251
6011.791,0.006570741927475994
6011.804,0.006925134883614378
6011.817,0.007315681062063756
6011.83,0.007733070177944228
6011.843,0.008184145264439413
6011.856,0.008692862638485656
6011.869,0.00928789919357489
6011.882,0.009991657810378706
6011.895,0.010815195623240983
6011.908,0.011753845069708951
6011.921,0.012795922430783604
6011.934,0.013951045517045403
6011.947,0.015259299942768699
6011.96,0.016753497772398502
6011.973,0.01842455124251533
6011.986,0.020253139674842435
6011.999,0.022286295440723608
6012.012,0.024666105089379744
6012.025,0.02755429342801802
6012.038,0.030971015109217057
6012.051,0.03459825690925001
6012.064,0.03768274338747405
6012.077,0.03928513678777993
6012.09,0.03890034804200924
6012.103,0.036888308540359585
6012.116,0.034187812240072016
6012.129,0.03166262921345209
6012.142,0.029718201813293335
6012.155,0.02829293892938116
6012.168,0.02703148080712686
6012.181,0.025538465844719558
6012.194,0.02362924066968015
6012.207,0.02141186054159631
6012.22,0.019148050467258596
6012.233,0.017063083634788676
6012.246,0.015268438629162199
6012.259,0.013791621351190032
6012.272,0.012624117089773065
6012.285,0.011736004768922755
6012.298,0.011066567412149125
6012.311,0.010520610398641056
6012.324,0.00999375458167274
6012.337,0.009421116726061367
6012.35,0.008802235159370507
6012.363,0.008176558889476602
6012.376,0.007586316225307347
6012.389,0.007059263121876736
6012.402,0.006606873162052004
6012.415,0.006228028758558068
6012.428,0.005914616665502903
6012.441,0.005656943203169287
6012.454,0.005447199305416906
6012.467,0.005280227719225506
6012.48,0.005152671794002484
6012.493,0.005062480107236413
6012.506,0.005009227200158806
6012.519,0.004994420653413328
6012.532,0.005021511347983609
6012.545,0.0050958129053159705
6012.558,0.0052239075804275835
6012.571,0.00541139719292021
6012.584,0.005657576171658224
6012.597,0.0059460915628943576
6012.61,0.006234507789463091
6012.623,0.00645463452506716
6012.636,0.0065383320840691145
6012.649,0.006458669037573788
6012.662,0.006245648795292061
6012.675,0.005961206563064749
6012.688,0.005666457777605843
6012.701,0.005405314626928215
6012.714,0.005199776049719421
6012.727,0.0050505359861619725
6012.74,0.004941290109041329
6012.753,0.004847122975409079
6012.766,0.004747986786371974
6012.779,0.004640413332736213
6012.792,0.004536008859406733
6012.805,0.0044496775935431495
6012.818,0.004391271683852935
6012.831,0.00436505269389553
6012.844,0.0043719961969808496
6012.857,0.004411233131388964
6012.87,0.004480621615996208
6012.883,0.004576381694909662
6012.896,0.004690538362032497
6012.909,0.004806984740751501
6012.922,0.004901504498460289
6012.935,0.004951626042931809
6012.948,0.004951742563282068
6012.961,0.004918662651786837
6012.974,0.0048817276242308525
6012.987,0.004866288252019587
6013,0.004879675876439233
6013.013,0.004904495449102702
6013.026,0.00490668420027212
6013.039,0.004862168500791788
6013.052,0.0047791357924349305
6013.065,0.00468788014333072
6013.078,0.004614804567723993
6013.091,0.0045713916125579325
6013.104,0.004558489432158211
6013.117,0.004573217476379854
6013.13,0.004613030425542667
6013.143,0.004676927820025091
6013.156,0.004765075610463929
6013.169,0.0048782281132646365
6013.182,0.005017784329049868
6013.195,0.005186477300615905
6013.208,0.005388978764048174
6013.221,0.005631798234461798
6013.234,0.0059229029388984285
6013.247,0.006271942633100286
6013.26,0.0066915256723885696
6013.273,0.007199422757691633
6013.286,0.007820477296040282
6013.299,0.008586247237814773
6013.312,0.009531938087806061
6013.325,0.010692318765873732
6013.338,0.01209787494560361
6013.351,0.013765522854488687
6013.364,0.015665910555635782
6013.377,0.017658033422267363
6013.39,0.019436693865138983
6013.403,0.020598174051020355
6013.416,0.02087165494373214
6013.429,0.020339476892106814
6013.442,0.019389693075078998
6013.455,0.01845222569522577
6013.468,0.01779890960744432
6013.481,0.017525123679263795
6013.494,0.017634081845773853
6013.507,0.018112320303011683
6013.52,0.018923449076810647
6013.533,0.019925298220393853
6013.546,0.020809519803658978
6013.559,0.02119509781220383
6013.572,0.020873562698864173
6013.585,0.019957543186261775
6013.598,0.01874239081104871
6013.611,0.017472269043696264
6013.624,0.016270891556528465
6013.637,0.01521098632192623
6013.65,0.014365655314401865
6013.663,0.013798610306027255
6013.676,0.013547486013131384
6013.689,0.01363075148204373
6013.702,0.014062478278209615
6013.715,0.014852285229550522
6013.728,0.01598112790805567
6013.741,0.01735333015671424
6013.754,0.01874323963263263
6013.767,0.019801737279699638
6013.78,0.02020180090259611
6013.793,0.019861775822995878
6013.806,0.01901670349594579
6013.819,0.01805132125030013
6013.832,0.017292075537980192
6013.845,0.016930558120610707
6013.858,0.017053079621126073
6013.871,0.01768637068008968
6013.884,0.01881014657695681
6013.897,0.02032650115583498
6013.91,0.022006145245185942
6013.923,0.023478015382273325
6013.936,0.02434890707584116
6013.949,0.02441823117367431
6013.962,0.023774268297125763
6013.975,0.022663720972801546
6013.988,0.02132198450474589
6014.001,0.0199345790586461
6014.014,0.018652453270680634
6014.027,0.01754828684777548
6014.04,0.016559730032492247
6014.053,0.015539477126674075
6014.066,0.014411233465125952
6014.079,0.013250392464287341
6014.092,0.012194896360408538
6014.105,0.011331909739988247
6014.118,0.01067413110241646
6014.131,0.010189118667625967
6014.144,0.009830422777488005
6014.157,0.009560237112555693
6014.17,0.009361558601130329
6014.183,0.009235233004693366
6014.196,0.009189784163566552
6014.209,0.009236087624675515
6014.222,0.009386420539821699
6014.235,0.009651251495979861
6014.248,0.010028611244359885
6014.261,0.010481831528662671
6014.274,0.010917515848609338
6014.287,0.011212757426033055
6014.3,0.011313304963554184
6014.313,0.011292165544638235
6014.326,0.011279789225504816
6014.339,0.011372645958402825
6014.352,0.011616664086589193
6014.365,0.012032009039450455
6014.378,0.012633307562191866
6014.391,0.013434862227328174
6014.404,0.01444008376614283
6014.417,0.015615218890436471
6014.43,0.016870334170216796
6014.443,0.018107899320296637
6014.456,0.019341193417896925
6014.469,0.020738058584777695
6014.482,0.022526786995792435
6014.495,0.024907992989404527
6014.508,0.028051927862178076
6014.521,0.032123847336386215
6014.534,0.037276530501713326
6014.547,0.04357351919960846
6014.56,0.05081122588410579
6014.573,0.05825942772423774
6014.586,0.06452130486335939
6014.599,0.06790563968680888
6014.612,0.06738145493820125
6014.625,0.06330883977154018
6014.638,0.05712692985958805
6014.651,0.050422577689779445
6014.664,0.04429768040695445
6014.677,0.03926680916888556
6014.69,0.03542959755731786
6014.703,0.03267370573967826
6014.716,0.03080877234126165
6014.729,0.029647056053083102
6014.742,0.02906903906195213
6014.755,0.029055182736187915
6014.768,0.029659657441087256
6014.781,0.030965883658561164
6014.794,0.03306247568200562
6014.807,0.03602700232932335
6014.82,0.03988507692027701
6014.833,0.04452195313238571
6014.846,0.04956148488729852
6014.859,0.05431762912930298
6014.872,0.05799160743165654
6014.885,0.0600845190739514
6014.898,0.06059168659826142
6014.911,0.059692154294018626
6014.924,0.05739852558350605
6014.937,0.05372105697665433
6014.95,0.049046986470943604
6014.963,0.04409699528607295
6014.976,0.039530255120329205
6014.989,0.03569371852783572
6015.002,0.0326507488619866
6015.015,0.03031782796671341
6015.028,0.028574556965950505
6015.041,0.02731540698101406
6015.054,0.026458831948137244
6015.067,0.025940101974611506
6015.08,0.025706183755845113
6015.093,0.02571760806574349
6015.106,0.025952016391226556
6015.119,0.02640233710566685
6015.132,0.027070974928822038
6015.145,0.027965903661221987
6015.158,0.0291002870599292
6015.171,0.030494464778453852
6015.184,0.032179522242624145
6015.197,0.034201374495978806
6015.21,0.03662421416197234
6015.223,0.03953278782281715
6015.236,0.04303306130285494
6015.249,0.04724994426556179
6015.262,0.052311538426442115
6015.275,0.05829506387621325
6015.288,0.06511379353765556
6015.301,0.07236897325964706
6015.314,0.0792910017776265
6015.327,0.08497732061904646
6015.34,0.08893161450847945
6015.353,0.09140955339729473
6015.366,0.09311767097875745
6015.379,0.09469434327264774
6015.392,0.09666685680891128
6015.405,0.09966088080044985
6015.418,0.10429533813568916
6015.431,0.11092698038362775
6015.444,0.11959709971777328
6015.457,0.13014200008139362
6015.47,0.14238913015665294
6015.483,0.15652837122087276
6015.496,0.17348120043392634
6015.509,0.19480321161043926
6015.522,0.22230978317993108
6015.535,0.2580012052934726
6015.548,0.30429582142290656
6015.561,0.3642682845441874
6015.574,0.44166170006985667
6015.587,0.5403318621726229
6015.6,0.6623811721784445
6015.613,0.8039088037728037
6015.626,0.948466770517921
6015.639,1.0634055371291014
6015.652,1.110142583824855
6015.665,1.0696004037960873
6015.678,0.958264414983293
6015.691,0.8142126106603218
6015.704,0.671220368344627
6015.717,0.5469913936685559
6015.73,0.44613155219142997
6015.743,0.36675669808797057
6015.756,0.3049445332615996
6015.769,0.25670833553859607
6015.782,0.21861859349106152
6015.795,0.1879584661205972
6015.808,0.16278579442082677
6015.821,0.14186063218633727
6015.834,0.12439219155214533
6015.847,0.10978748676099502
6015.86,0.09754054921392052
6015.873,0.087217485107481
6015.886,0.07846006384819794
6015.899,0.0709805463100958
6015.912,0.06454944195504031
6015.925,0.05898326133646502
6015.938,0.05413600726609014
6015.951,0.04989262568155314
6015.964,0.046161539756448315
6015.977,0.04286737370995946
6015.99,0.039946639366906476
6016.003,0.037346710741073534
6016.016,0.035025730986091116
6016.029,0.03295107711913409
6016.042,0.03109649775255034
6016.055,0.029439835030754233
